name,java_loc,java_files
yetus,388,7
ant-props,720,23
ant-vss,993,19
velocity-anakia,1205,15
velocity-texen,1468,20
commons-launcher,1533,17
creadur-tentacles,1559,32
velocity-dvsl,1690,20
commons-daemon,1892,17
incubator-taverna,2089,22
commons-discovery,2588,57
ant-dotnet,2774,22
ant-antunit,3034,37
attic-regexp,3223,14
commons-exec,3537,52
commons-fileupload,4335,54
commons-jci,4373,66
ant-compress,4569,84
commons-logging,5440,66
creadur-whisker,5451,107
commons-weaver,5853,112
commons-modeler,5961,43
commons-proxy,6038,104
commons-cli,6433,48
commons-email,6745,49
commons-dbutils,6763,92
commons-bsf,7269,76
attic-oro,7270,98
commons-el,7571,62
commons-chain,9165,153
creadur-rat,9471,171
bigtop,11417,227
attic-directmemory,12869,169
commons-pool,13483,80
commons-scxml,13647,166
qpid,14004,118
attic-whirr,16636,253
devicemap,16772,241
ant-ivyde,16839,192
thrift,17454,203
commons-codec,18462,117
juddi-scout,18630,179
xerces-xml_commons_resolver,19509,526
xerces-xml_commons_external,19509,526
commons-ognl,20664,305
mina-ftpserver,20716,329
commons-jexl,20854,133
gora,21113,204
commons-digester,21206,315
commons-functor,21688,396
attic-jakarta_cactus,21854,293
commons-jxpath,24910,232
orc,25156,86
logging-chainsaw,26356,189
velocity,26623,341
commons-primitives,26771,457
turbine,27283,349
axis-sandesha2,27365,227
commons-net,27395,268
attic-wookie,27822,295
any23,28255,414
commons-io,29173,227
webservices-woden,29348,361
commons-jelly,30086,551
logging-log4j,30287,309
httpcomponents-commons_httpclient,30300,277
attic-ecs,31054,391
shiro,31220,665
commons-compress,33269,264
commons-beanutils,33305,253
xmlgraphics-xml_graphics_commons,35464,398
vxquery,38713,616
attic-xindice,38760,469
commons-bcel,38886,478
mina-vysper,41806,668
directory-kerby,42697,793
james,43136,519
hama,48046,445
crunch,48431,663
nutch,49095,536
metamodel,52547,703
roller,53371,612
httpcomponents-core,54066,589
etch,56326,422
commons-jcs,56337,570
bookkeeper,57953,337
ace,58162,515
httpcomponents-client,58457,559
opennlp,60096,772
commons-collections,61548,525
avro,63487,521
commons-configuration,65036,442
knox,66243,832
parquet,67486,617
openwebbeans,69198,1390
directory-fortress,69837,291
attic-click,70521,706
commons-lang,71552,299
sqoop,72082,674
ant-ivy,72382,637
deltaspike,75858,1670
maven,79448,948
reef,80389,1922
attic-excalibur,80857,941
webservices-axiom,81331,2062
helix,81651,799
curator,89870,503
giraph,90768,1373
synapse,101641,1266
pivot,104949,891
attic-shindig,105355,1019
mahout,111787,1221
ctakes,117713,1172
stratos,118910,1435
oodt,125754,1628
pdfbox,130968,1143
ant,136505,1214
attic-shale,144957,1794
attic-xmlbeans,149367,1010
oozie,154599,1008
tiles,155252,2178
tapestry,156382,3074
groovy,158762,1399
tez,159294,1013
stanbol,160662,1656
xalan-for_java_xslt_processor,170710,958
wicket,172539,2623
storm,185182,1562
commons-math,187723,1422
cocoon,195317,2529
attic-beehive,201837,2923
manifoldcf,207138,1251
xmlgraphics-fop,208363,1980
tuscany,214700,3701
tajo,220121,1795
phoenix,243742,1502
drill,253430,2139
calcite,265854,1560
isis,275633,5380
ofbiz,277093,1239
axis-axis2,327486,3119
jclouds,329050,4881
jackrabbit,338787,3123
attic-lenya,341934,3515
abdera,356248,3317
sling,381227,4711
ambari,397927,3223
karaf,402956,4395
felix,413504,3915
jena,435497,5083
accumulo,462035,2119
openmeetings,466005,2993
cloudstack,565160,5118
cxf,616814,6645
db-derby,689363,2842
hive,737361,3766
mina,995936,10393
river,1451459,11114
uima,2268201,14859
attic-harmony,2678790,18371
